cliente_id,mes_referencia,saldo_medio_mensal,entradas_mensais_media,saidas_mensais_media,numero_movimentacoes_mensais
130,2025-01-01,3954.50,267.88,3352.06,17
131,2025-01-01,2960.85,1131.21,256.38,15
132,2025-01-01,987.06,215.76,443.57,17
133,2025-01-01,769.66,75.42,453.38,11
134,2025-01-01,1261.29,80.85,262.84,21
135,2025-01-01,2278.39,535.55,483.71,20
136,2025-01-01,550.72,52.59,113.53,15
137,2025-01-01,3892.12,1295.08,2404.35,13
138,2025-01-01,2244.05,407.07,1344.23,23
139,2025-01-01,2345.90,863.58,2133.95,22
140,2025-01-01,808.63,256.22,509.76,21
141,2025-01-01,4654.62,606.18,2520.14,18
142,2025-01-01,2078.65,188.47,977.25,23
143,2025-01-01,2487.67,774.55,2048.02,20
144,2025-01-01,1046.31,143.95,231.97,19
145,2025-01-01,1856.50,522.50,1624.13,19
146,2025-01-01,1316.38,398.72,709.84,13
147,2025-01-01,1690.39,104.55,1383.80,13
148,2025-01-01,4892.08,691.11,2045.10,22
149,2025-01-01,4626.27,1355.71,1647.01,20
150,2025-01-01,4910.32,1132.92,4213.68,11
151,2025-01-01,7556.83,1535.04,6768.25,20
152,2025-01-01,486.11,73.40,77.32,18
153,2025-01-01,3638.03,1132.28,1637.31,18
154,2025-01-01,1584.12,147.58,828.13,21
155,2025-01-01,3618.80,837.50,372.67,15
156,2025-01-01,1255.44,292.50,747.90,26
157,2025-01-01,536.10,29.07,66.85,11
158,2025-01-01,1351.49,198.34,1131.75,22
159,2025-01-01,25806.57,2402.57,24236.63,16
160,2025-01-01,2041.63,341.11,529.52,19
161,2025-01-01,2037.28,610.58,204.01,25
162,2025-01-01,1550.99,167.16,1059.35,14
163,2025-01-01,2327.59,308.54,644.34,19
164,2025-01-01,2588.79,224.77,1714.05,14
165,2025-01-01,545.38,183.12,272.35,18
166,2025-01-01,1859.53,448.20,226.35,11
167,2025-01-01,39481.07,8236.21,30443.20,22
168,2025-01-01,825.39,294.89,440.16,16
169,2025-01-01,1561.81,367.48,522.35,19
170,2025-01-01,1377.86,191.16,850.17,13
171,2025-01-01,2024.73,202.02,1473.30,16
172,2025-01-01,3629.00,1002.83,2769.88,12
173,2025-01-01,1726.91,115.74,998.42,17
174,2025-01-01,2188.67,365.31,1856.06,13
175,2025-01-01,419.65,154.31,71.47,19
176,2025-01-01,1131.88,408.29,646.82,15
177,2025-01-01,3552.99,1124.23,1525.04,17
178,2025-01-01,2102.30,787.97,556.01,16
179,2025-01-01,3349.99,897.40,1943.77,18
180,2025-01-01,2520.39,864.71,713.53,21
181,2025-01-01,1531.53,355.82,162.49,19
182,2025-01-01,2435.85,934.95,417.54,23
183,2025-01-01,867.48,199.89,678.82,15
184,2025-01-01,1784.35,313.28,1646.75,21
185,2025-01-01,2650.25,842.86,2182.47,13
186,2025-01-01,4794.69,1848.66,3603.88,15
187,2025-01-01,4212.84,751.69,905.48,19
188,2025-01-01,2027.11,731.10,1832.34,14
189,2025-01-01,2454.77,277.81,1212.01,9
190,2025-01-01,2226.08,618.00,190.21,17
191,2025-01-01,1830.71,344.82,716.33,21
192,2025-01-01,510.35,132.73,467.49,18
193,2025-01-01,1329.43,205.18,1213.81,16
194,2025-01-01,3379.29,526.41,1377.47,17
195,2025-01-01,3108.41,182.77,906.27,16
196,2025-01-01,1264.52,319.41,1073.29,18
197,2025-01-01,972.37,87.78,582.08,23
198,2025-01-01,567.13,58.83,395.32,23
199,2025-01-01,1290.20,268.35,794.04,16
200,2025-01-01,4296.63,1028.78,1197.58,19
201,2025-01-01,1225.67,437.85,755.70,23
202,2025-01-01,3829.60,502.69,3103.55,17
203,2025-01-01,5504.90,1765.84,5224.84,17
204,2025-01-01,1568.97,191.03,694.21,27
205,2025-01-01,4065.21,661.72,1005.99,24
206,2025-01-01,409.92,156.52,306.88,12
207,2025-01-01,1147.78,320.05,420.18,18
208,2025-01-01,4315.79,419.51,2870.51,26
209,2025-01-01,5303.12,996.29,1892.07,22
210,2025-01-01,4877.08,448.58,1708.45,8
211,2025-01-01,1101.38,431.95,666.41,26
212,2025-01-01,4605.65,1059.47,2187.63,25
213,2025-01-01,9427.00,3069.63,3249.54,19
214,2025-01-01,3747.76,419.82,2406.84,15
215,2025-01-01,1707.78,162.45,281.64,24
216,2025-01-01,491.44,43.97,104.72,21
217,2025-01-01,2176.45,297.09,643.73,22
218,2025-01-01,1249.05,209.70,1024.74,27
219,2025-01-01,1212.15,88.02,675.75,18
220,2025-01-01,1655.80,193.66,86.62,19
221,2025-01-01,977.53,88.97,308.32,24
222,2025-01-01,4723.47,460.56,2478.92,15
223,2025-01-01,3144.30,276.17,1563.84,24
224,2025-01-01,1714.52,129.83,1221.46,17
225,2025-01-01,46488.26,15224.84,32892.26,14
226,2025-01-01,1342.67,467.58,612.01,21
227,2025-01-01,1463.59,528.58,1156.85,15
228,2025-01-01,902.08,143.76,296.94,12
229,2025-01-01,911.73,101.65,374.88,18
230,2025-01-01,2437.39,431.48,305.47,20
231,2025-01-01,3218.42,512.06,2849.58,15
232,2025-01-01,1012.20,298.39,908.59,15
233,2025-01-01,2030.46,187.84,332.21,23
234,2025-01-01,1036.00,168.03,155.02,16
235,2025-01-01,4175.69,1186.19,3252.84,21
236,2025-01-01,2144.91,436.86,697.67,20
237,2025-01-01,2080.13,239.04,583.39,20
238,2025-01-01,1935.72,492.22,949.94,17
239,2025-01-01,4874.42,1302.19,954.17,18
240,2025-01-01,1968.45,395.42,1254.50,18
241,2025-01-01,4129.57,665.14,1801.11,17
242,2025-01-01,746.53,161.74,444.06,18
243,2025-01-01,2262.47,636.63,359.97,16
244,2025-01-01,1498.22,550.48,388.96,24
245,2025-01-01,5909.77,1154.34,3027.05,25
246,2025-01-01,3034.46,330.44,875.47,12
247,2025-01-01,764.03,258.74,684.22,15
248,2025-01-01,471.51,177.09,140.19,22
249,2025-01-01,2239.07,533.17,193.84,18
250,2025-01-01,849.71,129.61,487.35,25
251,2025-01-01,2752.35,694.16,2472.14,11
252,2025-01-01,2385.00,928.44,1317.43,15
253,2025-01-01,1005.20,238.10,664.75,19
254,2025-01-01,2047.62,393.00,1744.91,17
255,2025-01-01,1965.95,673.79,969.21,20
256,2025-01-01,4626.39,601.34,1523.01,15
257,2025-01-01,4434.16,454.65,4021.41,23
258,2025-01-01,1693.61,405.20,618.26,18
259,2025-01-01,3396.69,751.04,686.44,13
260,2025-01-01,920.04,288.38,50.37,26
261,2025-01-01,7767.29,1599.01,4878.57,21
262,2025-01-01,2819.34,696.57,450.55,15
263,2025-01-01,1799.57,690.29,1477.43,16
264,2025-01-01,1923.55,609.52,508.61,18
265,2025-01-01,3261.99,396.75,1021.82,18
266,2025-01-01,7049.35,1492.82,872.05,17
267,2025-01-01,2369.15,685.44,1544.94,18
268,2025-01-01,3404.79,1073.89,2420.15,20
269,2025-01-01,1991.49,455.57,1153.66,8
270,2025-01-01,579.18,158.46,52.64,11
271,2025-01-01,1218.30,331.44,786.72,17
272,2025-01-01,3686.77,1294.25,646.96,16
273,2025-01-01,1350.54,470.19,82.42,21
274,2025-01-01,2230.41,681.85,1608.07,12
275,2025-01-01,1744.50,239.90,1214.16,20
276,2025-01-01,3983.64,1381.66,1254.30,17
277,2025-01-01,577.98,160.02,185.16,22
278,2025-01-01,1471.18,116.05,203.36,21
279,2025-01-01,1569.04,365.82,334.26,15
280,2025-01-01,1269.09,164.88,821.60,16
281,2025-01-01,7956.95,830.54,1569.23,17
282,2025-01-01,2003.18,633.30,185.41,20
283,2025-01-01,5578.76,1913.79,3376.04,16
284,2025-01-01,1869.96,254.15,1774.14,11
285,2025-01-01,2075.39,741.24,1220.04,25
286,2025-01-01,2793.63,867.25,949.67,18
287,2025-01-01,1066.88,283.43,333.54,10
288,2025-01-01,2070.71,118.87,732.82,16
289,2025-01-01,8733.03,1172.53,5270.34,12
290,2025-01-01,1505.56,489.72,1426.12,16
291,2025-01-01,4672.04,862.13,3127.82,21
292,2025-01-01,836.22,139.94,700.53,13
293,2025-01-01,1829.62,347.57,1048.59,24
294,2025-01-01,3504.63,1130.96,2483.89,19
295,2025-01-01,3699.16,952.07,1466.94,17
296,2025-01-01,1975.94,700.45,785.54,14
297,2025-01-01,2502.77,797.09,1143.98,25
298,2025-01-01,597.42,154.41,295.90,19
299,2025-01-01,30960.69,1556.95,18000.19,20
300,2025-01-01,1086.63,337.69,960.12,16
301,2025-01-01,4191.69,1445.73,1101.20,9
302,2025-01-01,3502.35,1126.49,2779.11,11
303,2025-01-01,3377.57,585.12,2991.66,14
304,2025-01-01,1946.44,480.78,1395.57,22
305,2025-01-01,409.23,109.22,228.95,21
306,2025-01-01,1275.49,356.55,1148.38,17
307,2025-01-01,3780.91,504.40,416.21,21
308,2025-01-01,1786.90,472.94,501.13,17
309,2025-01-01,2528.80,249.65,1801.95,15
310,2025-01-01,1386.38,102.67,438.43,19
311,2025-01-01,4672.94,1088.78,3700.19,14
312,2025-01-01,368.96,117.90,180.62,19
313,2025-01-01,3385.91,437.44,1880.63,22
314,2025-01-01,2003.98,526.68,1398.48,19
315,2025-01-01,2581.08,477.64,1901.52,17
316,2025-01-01,26295.97,10431.97,16276.16,19
317,2025-01-01,1320.15,512.80,653.42,20
318,2025-01-01,1050.18,345.44,378.21,17
319,2025-01-01,1965.28,154.07,1813.47,22
320,2025-01-01,5551.38,1628.79,2902.50,10
321,2025-01-01,1057.58,270.71,877.88,14
322,2025-01-01,3912.26,1436.70,568.73,26
323,2025-01-01,3773.67,1484.70,2778.47,15
324,2025-01-01,1217.67,61.89,652.77,22
325,2025-01-01,5017.97,1078.17,1843.65,15
326,2025-01-01,2155.94,513.97,1116.32,10
327,2025-01-01,10558.76,1825.91,7380.92,22
328,2025-01-01,628.84,248.29,154.93,14
329,2025-01-01,2077.87,367.37,1195.43,19
330,2025-01-01,995.10,136.56,612.42,25
331,2025-01-01,4709.53,1061.83,2269.50,15
332,2025-01-01,363.98,80.88,271.78,14
333,2025-01-01,1025.36,128.39,689.19,13
334,2025-01-01,42341.99,6079.19,16066.07,14
335,2025-01-01,981.07,89.40,378.85,17
336,2025-01-01,950.92,314.62,783.86,13
337,2025-01-01,2557.14,444.72,131.19,22
338,2025-01-01,2304.35,410.80,1290.92,20
339,2025-01-01,6296.41,448.22,4422.76,20
340,2025-01-01,2008.43,141.03,108.01,18
341,2025-01-01,1521.97,109.10,442.39,22
342,2025-01-01,454.72,98.07,283.66,13
343,2025-01-01,1774.11,527.62,736.24,13
344,2025-01-01,2431.79,512.33,231.04,13
345,2025-01-01,5394.68,1395.51,2282.89,14
346,2025-01-01,4700.07,1577.65,2144.79,23
347,2025-01-01,5504.90,551.20,1784.80,22
348,2025-01-01,1334.87,154.96,553.79,22
349,2025-01-01,4648.43,1468.30,1193.25,24
350,2025-01-01,1265.67,388.71,719.19,17
351,2025-01-01,4007.48,1166.60,1364.26,22
352,2025-01-01,7411.76,2211.63,914.30,17
353,2025-01-01,6460.07,1848.74,2084.59,17
354,2025-01-01,2174.12,306.42,1899.55,18
355,2025-01-01,2487.92,917.20,1935.87,20
356,2025-01-01,3256.55,374.48,1006.47,18
357,2025-01-01,770.47,77.57,454.92,27
358,2025-01-01,3374.58,336.92,1053.21,14
359,2025-01-01,1817.54,285.71,1199.50,23
360,2025-01-01,3904.47,1283.10,1433.88,24
361,2025-01-01,1885.36,204.82,483.39,17
362,2025-01-01,1621.79,470.38,1002.30,25
363,2025-01-01,1215.03,401.92,674.41,17
364,2025-01-01,39761.72,15313.13,24440.33,15
365,2025-01-01,1144.34,248.65,981.24,13
366,2025-01-01,26947.96,8762.55,14463.81,17
367,2025-01-01,4854.39,1097.73,3002.43,19
368,2025-01-01,3550.19,325.33,2345.87,18
369,2025-01-01,26298.02,8244.96,1524.42,21
370,2025-01-01,965.60,250.31,464.12,29
371,2025-01-01,4651.88,1329.04,3125.51,19
372,2025-01-01,2415.79,700.86,2197.12,22
373,2025-01-01,1659.50,381.73,726.93,16
374,2025-01-01,1756.16,206.02,1162.54,18
375,2025-01-01,1030.66,148.45,565.39,16
376,2025-01-01,599.30,49.46,289.28,14
377,2025-01-01,2711.25,780.00,1355.49,16
378,2025-01-01,4656.50,1303.31,4382.44,21
379,2025-01-01,5591.47,2125.10,4173.94,18
380,2025-01-01,1917.66,380.52,1031.33,17
381,2025-01-01,630.37,201.78,578.32,14
382,2025-01-01,5725.51,468.64,1579.78,15
383,2025-01-01,904.74,293.99,135.08,20
384,2025-01-01,1634.14,368.77,397.46,14
385,2025-01-01,2338.84,216.21,1051.83,18
386,2025-01-01,2629.18,1046.28,2295.03,17
387,2025-01-01,585.91,29.76,527.46,15
388,2025-01-01,1112.91,426.70,199.51,21
389,2025-01-01,3097.33,879.73,2309.11,19
390,2025-01-01,1139.87,316.94,757.71,16
391,2025-01-01,7263.13,1321.70,4513.28,15
392,2025-01-01,1401.27,425.49,443.55,20
393,2025-01-01,2000.87,502.11,1103.34,17
394,2025-01-01,1658.26,293.46,1121.82,13
395,2025-01-01,4021.89,1084.22,3766.76,10
396,2025-01-01,919.61,84.13,666.39,24
397,2025-01-01,2673.64,672.60,1689.31,18
398,2025-01-01,9293.71,472.91,1211.93,16
399,2025-01-01,1218.05,455.15,584.20,20
400,2025-01-01,926.81,345.81,392.97,11
401,2025-01-01,1338.89,324.96,1065.84,21
402,2025-01-01,2323.13,399.03,1031.00,14
403,2025-01-01,2059.12,173.63,1580.57,19
404,2025-01-01,2546.17,775.98,2121.25,21
405,2025-01-01,12578.54,3876.07,2210.89,12
406,2025-01-01,2799.72,840.74,951.90,13
407,2025-01-01,1461.87,306.68,1353.59,18
408,2025-01-01,4827.18,336.90,2085.59,14
409,2025-01-01,1745.86,249.57,358.20,16
410,2025-01-01,2974.91,855.23,1735.17,7
411,2025-01-01,5312.86,1617.95,2491.28,21
412,2025-01-01,3029.00,498.10,1981.16,24
413,2025-01-01,3174.63,700.93,1878.21,9
414,2025-01-01,2665.27,500.34,965.08,22
415,2025-01-01,969.97,67.22,103.63,20
416,2025-01-01,29797.03,5066.20,14761.62,19
417,2025-01-01,2250.77,688.22,665.72,24
418,2025-01-01,517.47,184.03,339.13,16
419,2025-01-01,1775.15,531.57,1093.99,25
420,2025-01-01,2096.07,639.19,743.80,24
421,2025-01-01,3696.99,706.75,407.83,24
422,2025-01-01,2857.50,346.21,1937.19,15
423,2025-01-01,2274.47,708.41,1894.34,16
424,2025-01-01,525.03,194.84,73.34,21
425,2025-01-01,536.83,102.29,481.60,24
426,2025-01-01,1319.95,335.72,1093.78,15
427,2025-01-01,857.98,136.71,592.84,22
428,2025-01-01,1822.35,712.43,1670.26,19
429,2025-01-01,1870.49,525.60,653.03,22
430,2025-01-01,875.90,98.46,219.63,15
431,2025-01-01,1908.42,152.69,425.54,16
432,2025-01-01,3333.07,673.31,824.99,18
433,2025-01-01,1132.54,399.98,867.70,19
434,2025-01-01,1034.89,90.98,783.36,28
435,2025-01-01,2161.87,769.64,1088.67,18
436,2025-01-01,2837.77,878.46,2243.31,17
437,2025-01-01,1117.07,445.94,144.18,18
438,2025-01-01,4070.22,1193.90,726.98,11
439,2025-01-01,2757.47,523.60,1112.10,17
440,2025-01-01,1601.45,426.09,879.74,19
441,2025-01-01,975.25,350.03,502.73,17
442,2025-01-01,2374.15,891.94,1476.31,22
443,2025-01-01,3541.64,1330.34,2605.78,17
444,2025-01-01,2916.99,268.01,1151.39,12
445,2025-01-01,3405.89,932.71,2582.35,12
446,2025-01-01,2518.63,354.54,916.10,10
447,2025-01-01,918.00,236.00,92.96,12
448,2025-01-01,3391.39,657.32,2988.26,21
449,2025-01-01,2688.94,588.99,1975.11,19
450,2025-01-01,1889.48,746.23,1403.28,17
451,2025-01-01,1401.03,135.31,593.78,17
452,2025-01-01,3647.46,1293.15,638.99,13
453,2025-01-01,1993.78,722.88,785.02,18
454,2025-01-01,2145.01,190.08,356.66,22
455,2025-01-01,439.67,101.51,52.44,17
456,2025-01-01,3133.45,788.97,1599.06,26
457,2025-01-01,1594.05,157.42,264.12,19
458,2025-01-01,1276.68,343.02,1014.68,17
459,2025-01-01,364.47,24.56,44.90,11
460,2025-01-01,753.81,215.33,186.53,11
461,2025-01-01,1292.38,312.13,839.37,13
462,2025-01-01,3782.99,373.72,1582.78,20
463,2025-01-01,1200.12,383.87,194.62,21
464,2025-01-01,1529.20,602.32,606.72,18
465,2025-01-01,1082.19,270.57,204.85,25
466,2025-01-01,1149.66,166.47,771.08,21
467,2025-01-01,2063.56,511.20,1086.97,22
468,2025-01-01,3240.94,1147.56,2300.95,24
469,2025-01-01,2951.40,996.22,1345.86,23
470,2025-01-01,617.06,171.22,74.15,21
471,2025-01-01,2020.42,770.79,1317.39,18
472,2025-01-01,2631.39,444.79,834.56,17
473,2025-01-01,1582.52,192.46,686.75,12
474,2025-01-01,1501.07,84.60,1259.65,22
475,2025-01-01,2763.90,186.06,1815.07,15
476,2025-01-01,2098.15,738.63,1421.02,19
477,2025-01-01,2594.66,304.39,2119.87,18
478,2025-01-01,1432.55,185.52,506.82,20
479,2025-01-01,1319.94,218.65,229.52,17
480,2025-01-01,2635.57,887.00,1132.33,14
481,2025-01-01,1238.70,397.95,342.97,14
482,2025-01-01,9989.24,3135.22,2027.70,20
483,2025-01-01,6712.50,2201.13,1132.37,17
484,2025-01-01,780.08,170.04,477.82,14
485,2025-01-01,1148.73,324.65,341.51,13
486,2025-01-01,3071.53,855.22,1729.77,25
487,2025-01-01,2914.85,501.98,1595.80,18
488,2025-01-01,1668.99,99.30,282.05,13
489,2025-01-01,2269.34,718.18,2046.11,20
490,2025-01-01,4658.15,1434.71,979.98,21
491,2025-01-01,2753.71,1000.52,1703.52,16
492,2025-01-01,5264.75,891.12,3793.24,10
493,2025-01-01,745.54,224.76,510.22,12
494,2025-01-01,2670.62,304.93,1263.69,12
495,2025-01-01,1105.40,238.61,463.68,11
496,2025-01-01,4633.90,354.85,2019.75,11
497,2025-01-01,6167.71,2438.14,1316.07,16
498,2025-01-01,929.58,292.83,675.92,13
499,2025-01-01,1361.63,419.69,882.08,17
500,2025-01-01,4217.79,963.55,225.55,22
501,2025-01-01,1736.89,387.93,1130.99,20
502,2025-01-01,1776.17,386.28,1062.17,18
503,2025-01-01,1277.91,159.76,518.97,15
504,2025-01-01,2807.91,220.14,1420.70,22
505,2025-01-01,2078.22,720.64,1822.35,8
506,2025-01-01,5483.78,2061.77,1683.10,27
507,2025-01-01,1995.90,146.94,371.62,18
508,2025-01-01,5341.99,2055.48,1459.05,17
509,2025-01-01,1726.92,104.21,938.43,20
510,2025-01-01,1529.98,568.53,282.70,10
511,2025-01-01,1317.25,507.69,969.55,14
512,2025-01-01,2928.17,1033.24,1635.69,11
513,2025-01-01,1542.69,508.28,751.23,19
514,2025-01-01,2491.27,446.07,1380.41,14
515,2025-01-01,3515.77,1085.67,253.49,22
516,2025-01-01,4663.52,1519.09,2948.38,21
517,2025-01-01,3603.74,488.71,2341.36,21
518,2025-01-01,2476.19,931.02,2180.74,23
519,2025-01-01,5259.21,1371.55,626.50,21
520,2025-01-01,1133.68,102.19,792.30,27
521,2025-01-01,930.93,149.65,153.34,17
522,2025-01-01,3138.76,316.72,1715.23,23
523,2025-01-01,1451.42,80.04,484.27,16
524,2025-01-01,2398.76,840.69,923.15,30
525,2025-01-01,2471.29,292.09,1822.57,15
526,2025-01-01,1258.54,188.43,122.27,16
527,2025-01-01,1978.83,504.25,1498.39,20
528,2025-01-01,1283.69,152.63,718.23,19
529,2025-01-01,2483.20,458.32,1739.00,18
530,2025-01-01,38276.72,9740.48,6296.91,18
531,2025-01-01,1146.85,368.23,463.01,20
532,2025-01-01,427.84,156.73,102.80,19
533,2025-01-01,3335.36,1270.80,2115.17,21
534,2025-01-01,1757.99,111.63,900.15,17
535,2025-01-01,1025.46,296.42,727.08,22
536,2025-01-01,676.28,191.65,76.36,11
537,2025-01-01,1273.49,273.08,109.39,13
538,2025-01-01,4323.30,941.55,3256.15,18
539,2025-01-01,1751.65,610.30,144.30,16
540,2025-01-01,1074.01,119.68,773.32,14
541,2025-01-01,3045.85,950.24,1821.38,15
542,2025-01-01,1000.06,60.36,245.41,11
543,2025-01-01,704.36,268.10,508.15,16
544,2025-01-01,5518.28,439.35,1907.72,21
545,2025-01-01,2638.64,343.04,2368.76,22
546,2025-01-01,2182.32,720.26,1962.23,18
547,2025-01-01,2184.24,111.87,368.81,11
548,2025-01-01,2503.72,612.16,1612.72,17
549,2025-01-01,2728.82,267.14,469.28,10
550,2025-01-01,3128.91,677.36,2890.69,21
551,2025-01-01,1925.50,725.53,941.33,16
552,2025-01-01,3593.22,552.21,2275.78,17
553,2025-01-01,2325.76,627.12,2082.73,16
554,2025-01-01,23820.61,5984.44,6732.91,21
555,2025-01-01,867.09,56.14,669.03,17
556,2025-01-01,1926.57,449.47,1191.25,20
557,2025-01-01,5012.82,397.51,3137.79,14
558,2025-01-01,3443.63,880.26,615.19,14
559,2025-01-01,3255.13,178.16,2888.19,19
560,2025-01-01,1330.76,498.56,408.34,18
561,2025-01-01,3983.24,331.47,1263.88,24
562,2025-01-01,2836.26,652.05,156.88,11
563,2025-01-01,3438.30,1287.23,1644.49,17
564,2025-01-01,2702.66,996.24,762.57,20
565,2025-01-01,4567.20,531.27,3814.39,18
